Date,Open,High,Low,Close,Volume,Adj Close
2010-10-27,307.65,309.90,305.60,307.83,14250100,307.83
2010-10-26,306.87,309.74,305.65,308.05,14033200,308.05
2010-10-25,309.09,311.60,308.44,308.84,14016500,308.84
2010-10-22,309.07,310.04,306.30,307.47,13313500,307.47
2010-10-21,312.36,314.74,306.80,309.52,19695000,309.52
2010-10-20,309.00,314.25,306.87,310.53,25772300,310.53
2010-10-19,303.40,313.77,300.02,309.49,44028000,309.49
2010-10-18,318.47,319.00,314.29,318.00,39036100,318.00
2010-10-15,307.44,315.00,304.91,314.74,32935500,314.74
2010-10-14,301.69,302.47,300.40,302.31,15546300,302.31
2010-10-13,300.20,301.96,299.80,300.14,22503300,300.14
2010-10-12,295.41,299.50,292.49,298.54,19948000,298.54
2010-10-11,294.74,297.24,294.60,295.36,15276900,295.36
2010-10-08,291.71,294.50,290.00,294.07,23514400,294.07
2010-10-07,290.34,290.48,286.91,289.22,14585700,289.22
2010-10-06,289.59,291.99,285.26,289.19,23959600,289.19
2010-10-05,282.00,289.45,281.82,288.94,17927400,288.94
2010-10-04,281.60,282.90,277.77,278.64,15546500,278.64
2010-10-01,286.15,286.58,281.35,282.52,16005100,282.52
2010-09-30,289.00,290.00,281.25,283.75,24049700,283.75
2010-09-29,287.23,289.81,286.00,287.37,16773000,287.37
2010-09-28,291.77,291.77,275.00,286.86,36965800,286.86
2010-09-27,293.98,294.73,291.01,291.16,17244100,291.16
2010-09-24,292.10,293.53,290.55,292.32,23196000,292.32
2010-09-23,286.33,292.76,286.00,288.92,28075600,288.92
2010-09-22,282.71,287.98,282.41,287.75,20903200,287.75
2010-09-21,283.86,287.35,282.79,283.77,23859800,283.77
2010-09-20,276.08,283.78,275.85,283.23,23524200,283.23
2010-09-17,277.69,277.96,273.68,275.37,22659900,275.37
2010-09-16,270.24,276.67,269.50,276.57,23289400,276.57
2010-09-15,268.17,270.38,267.84,270.22,15334600,270.22
2010-09-14,266.21,269.17,265.52,268.06,14576800,268.06
2010-09-13,265.82,268.28,265.76,267.04,13885000,267.04
2010-09-10,263.19,264.50,261.40,263.41,13840800,263.41
2010-09-09,265.04,266.52,262.92,263.07,15663400,263.07
2010-09-08,259.78,264.39,259.10,262.92,18805400,262.92
2010-09-07,256.64,259.53,256.25,257.81,12234200,257.81
2010-09-03,255.09,258.78,254.50,258.77,18599600,258.77
2010-09-02,251.26,252.17,248.57,252.17,14836700,252.17
2010-09-01,247.47,251.46,246.28,250.33,24894200,250.33
2010-08-31,241.85,244.56,240.35,243.10,15028100,243.10
2010-08-30,240.76,245.75,240.68,242.50,13688900,242.50
2010-08-27,241.75,242.61,235.56,241.62,19585400,241.62
2010-08-26,245.45,245.75,240.28,240.28,16660900,240.28
2010-08-25,238.04,243.99,237.20,242.89,21316700,242.89
2010-08-24,242.67,243.00,238.65,239.93,21520200,239.93
2010-08-23,251.79,252.00,245.25,245.80,14787200,245.80
2010-08-20,249.39,253.92,249.00,249.64,13722500,249.64
2010-08-19,252.84,253.48,248.68,249.88,15239500,249.88
2010-08-18,252.36,254.67,251.58,253.07,12132000,253.07
2010-08-17,250.08,254.63,249.20,251.97,15094300,251.97
2010-08-16,247.58,250.01,246.62,247.64,11372500,247.64
2010-08-13,251.65,251.88,249.09,249.10,12673900,249.10
2010-08-12,246.69,253.10,246.12,251.79,19104300,251.79
2010-08-11,255.40,255.69,249.81,250.19,22144800,250.19
2010-08-10,259.85,260.45,257.55,259.41,16140000,259.41
2010-08-09,261.48,262.15,259.57,261.75,10826000,261.75
2010-08-06,259.78,261.49,257.63,260.09,15889200,260.09
2010-08-05,261.73,263.18,260.55,261.70,10324900,261.70
2010-08-04,262.84,264.28,260.31,262.98,15013400,262.98
2010-08-03,261.01,263.26,259.42,261.93,14916200,261.93
2010-08-02,260.44,262.59,259.62,261.85,15287700,261.85
2010-07-30,255.89,259.70,254.90,257.25,16007500,257.25
2010-07-29,260.71,262.65,256.10,258.11,22993100,258.11
2010-07-28,263.67,265.99,260.25,260.96,18570900,260.96
2010-07-27,260.87,264.80,260.30,264.08,20884700,264.08
2010-07-26,260.00,260.10,257.71,259.28,15019700,259.28
2010-07-23,257.09,260.38,256.28,259.94,19049600,259.94
2010-07-22,257.68,260.00,255.31,259.02,23047100,259.02
2010-07-21,265.09,265.15,254.00,254.24,42345400,254.24
2010-07-20,242.90,252.90,240.01,251.89,38391100,251.89
2010-07-19,249.88,249.88,239.60,245.58,36588500,245.58
2010-07-16,253.18,254.97,248.41,249.90,37137800,249.90
2010-07-15,248.23,256.97,247.30,251.45,29459500,251.45
2010-07-14,249.38,255.80,249.00,252.73,29001700,252.73
2010-07-13,256.32,256.40,246.43,251.80,42533000,251.80
2010-07-12,258.53,261.85,254.86,257.29,20102800,257.29
2010-07-09,256.89,259.90,255.16,259.62,15475800,259.62
2010-07-08,262.48,262.90,254.89,258.09,26362300,258.09
2010-07-07,250.49,258.77,249.75,258.67,23377000,258.67
2010-07-06,251.00,252.80,246.16,248.63,21972700,248.63
2010-07-02,250.49,250.93,243.20,246.94,24780100,246.94
2010-07-01,254.30,254.80,243.22,248.48,36532000,248.48
2010-06-30,256.71,257.97,250.01,251.53,26409000,251.53
2010-06-29,264.12,264.39,254.30,256.17,40476600,256.17
2010-06-28,266.93,269.75,264.52,268.30,20891000,268.30
2010-06-25,270.06,270.27,265.81,266.70,19640800,266.70
2010-06-24,271.00,273.20,268.10,269.00,25509900,269.00
2010-06-23,274.58,274.66,267.90,270.97,27444900,270.97
2010-06-22,272.16,275.97,271.50,273.85,25616500,273.85
2010-06-21,277.69,279.01,268.73,270.17,27731800,270.17
2010-06-18,272.25,275.00,271.42,274.07,28022200,274.07
2010-06-17,270.60,272.90,269.50,271.87,31173400,271.87
2010-06-16,261.10,267.75,260.63,267.25,27988500,267.25
2010-06-15,255.64,259.85,255.50,259.69,20895500,259.69
2010-06-14,255.96,259.15,254.01,254.28,21534300,254.28
2010-06-11,248.23,253.86,247.37,253.51,19491400,253.51
2010-06-10,244.84,250.98,242.20,250.51,27727000,250.51
2010-06-09,251.47,251.90,242.49,243.20,30522500,243.20
2010-06-08,253.24,253.80,245.65,249.33,35741800,249.33
2010-06-07,258.29,259.15,250.55,250.94,31676500,250.94
2010-06-04,258.21,261.90,254.63,255.96,27082300,255.96
2010-06-03,265.18,265.55,260.41,263.12,23218100,263.12
2010-06-02,264.54,264.80,260.33,263.95,24591000,263.95
2010-06-01,259.69,265.94,258.96,260.83,31302600,260.83
2010-05-28,259.39,259.40,253.35,256.88,29129100,256.88
2010-05-27,250.60,253.89,249.11,253.35,23795800,253.35
2010-05-26,250.08,252.13,243.75,244.11,30380500,244.11
2010-05-25,239.35,246.76,237.16,245.22,37428800,245.22
2010-05-24,247.28,250.90,246.26,246.76,26937100,246.76
2010-05-21,232.82,244.50,231.35,242.32,43710400,242.32
2010-05-20,241.88,243.85,236.21,237.76,45818400,237.76
2010-05-19,249.50,252.92,244.85,248.34,36633100,248.34
2010-05-18,256.98,258.55,250.26,252.36,27952800,252.36
2010-05-17,254.70,256.18,247.71,254.22,27244100,254.22
2010-05-14,255.16,256.48,249.50,253.82,27120100,253.82
2010-05-13,263.22,265.00,256.40,258.36,21418300,258.36
2010-05-12,259.24,263.13,258.70,262.09,23370700,262.09
2010-05-11,251.84,259.89,250.50,256.52,30318100,256.52
2010-05-10,250.25,254.65,248.53,253.99,35153800,253.99
2010-05-07,243.71,246.57,225.21,235.86,59857800,235.86
2010-05-06,253.83,258.25,199.25,246.25,45923600,246.25
2010-05-05,253.03,258.14,248.73,255.99,31539400,255.99
2010-05-04,262.89,263.29,256.75,258.68,25850700,258.68
2010-05-03,263.84,267.88,262.88,266.35,16226500,266.35
2010-04-30,269.31,270.57,261.00,261.09,19373700,261.09
2010-04-29,263.02,270.00,262.01,268.64,19958600,268.64
2010-04-28,263.25,264.00,256.41,261.60,27085800,261.60
2010-04-27,267.27,267.84,260.52,262.04,25333700,262.04
2010-04-26,271.88,272.46,268.19,269.50,17109600,269.50
2010-04-23,267.99,272.18,267.00,270.83,28462700,270.83
2010-04-22,258.24,266.75,256.20,266.47,28336600,266.47
2010-04-21,258.80,260.25,255.73,259.22,35085400,259.22
2010-04-20,248.54,249.25,242.96,244.59,26368800,244.59
2010-04-19,247.03,247.89,241.77,247.07,20247300,247.07
2010-04-16,248.57,251.14,244.55,247.40,26805200,247.40
2010-04-15,245.78,249.03,245.51,248.92,13456600,248.92
2010-04-14,245.28,245.81,244.07,245.69,14431300,245.69
2010-04-13,241.86,242.80,241.11,242.43,10936100,242.43
2010-04-12,242.20,243.07,241.81,242.29,11893800,242.29
2010-04-09,241.43,241.89,240.46,241.79,11935100,241.79
2010-04-08,240.44,241.54,238.04,239.95,20463900,239.95
2010-04-07,239.55,241.92,238.66,240.60,22446500,240.60
2010-04-06,238.20,240.24,237.00,239.54,15964900,239.54
2010-04-05,234.98,238.51,234.77,238.49,24446700,238.49
2010-04-01,237.41,238.73,232.75,235.97,21540900,235.97
2010-03-31,235.49,236.61,234.46,235.00,15380700,235.00
2010-03-30,236.60,237.48,234.25,235.85,18832500,235.85
2010-03-29,233.00,233.87,231.62,232.39,19312300,232.39
2010-03-26,228.95,231.95,228.55,230.90,22888400,230.90
2010-03-25,230.92,230.97,226.25,226.65,19367300,226.65
2010-03-24,227.64,230.20,227.51,229.37,21349300,229.37
2010-03-23,225.64,228.78,224.10,228.36,21515400,228.36
2010-03-22,220.47,226.00,220.15,224.75,16300700,224.75
2010-03-19,224.79,225.24,221.23,222.25,19980200,222.25
2010-03-18,224.10,225.00,222.61,224.65,12218200,224.65
2010-03-17,224.90,226.45,223.27,224.12,16105600,224.12
2010-03-16,224.18,224.98,222.51,224.45,15961000,224.45
2010-03-15,225.38,225.50,220.25,223.84,17625100,223.84
2010-03-12,227.37,227.73,225.75,226.60,14868700,226.60
2010-03-11,223.91,225.50,223.32,225.50,14489300,225.50
2010-03-10,223.83,225.48,223.20,224.84,21293500,224.84
2010-03-09,218.31,225.00,217.89,223.02,32866400,223.02
2010-03-08,220.01,220.09,218.25,219.08,15353200,219.08
2010-03-05,214.94,219.70,214.63,218.95,32129300,218.95
2010-03-04,209.28,210.92,208.63,210.71,13072900,210.71
2010-03-03,208.94,209.87,207.94,209.33,13287600,209.33
2010-03-02,209.93,210.83,207.74,208.85,20233800,208.85
2010-03-01,205.75,209.50,205.45,208.99,19646200,208.99
2010-02-26,202.38,205.17,202.00,204.62,18123600,204.62
2010-02-25,197.38,202.86,196.89,202.00,23754500,202.00
2010-02-24,198.23,201.44,197.84,200.66,16448800,200.66
2010-02-23,200.00,201.33,195.71,197.06,20539100,197.06
2010-02-22,202.34,202.50,199.19,200.42,13948700,200.42
2010-02-19,201.86,203.20,201.11,201.67,14838200,201.67
2010-02-18,201.63,203.89,200.92,202.93,15100900,202.93
2010-02-17,204.19,204.31,200.86,202.55,15585600,202.55
2010-02-16,201.94,203.69,201.52,203.40,19419200,203.40
2010-02-12,198.11,201.64,195.50,200.38,23409600,200.38
2010-02-11,194.88,199.75,194.06,198.67,19655200,198.67
2010-02-10,195.89,196.60,194.26,195.12,13227200,195.12
2010-02-09,196.42,197.50,194.75,196.19,22603100,196.19
2010-02-08,195.69,197.88,194.00,194.12,17081100,194.12
2010-02-05,192.63,196.00,190.85,195.46,30368100,195.46
2010-02-04,196.73,198.37,191.57,192.05,27059000,192.05
2010-02-03,195.17,200.20,194.42,199.23,21976000,199.23
2010-02-02,195.91,196.32,193.38,195.86,24940800,195.86
2010-02-01,192.37,196.00,191.30,194.73,26781300,194.73
2010-01-29,201.08,202.20,190.25,192.06,44498300,192.06
2010-01-28,204.93,205.50,198.70,199.29,41910800,199.29
2010-01-27,206.85,210.58,199.53,207.88,61520300,207.88
2010-01-26,205.95,213.71,202.58,205.94,66682500,205.94
2010-01-25,202.51,204.70,200.19,203.07,38060700,203.07
2010-01-22,206.78,207.50,197.16,197.75,31491700,197.75
2010-01-21,212.08,213.31,207.21,208.07,21719800,208.07
2010-01-20,214.91,215.55,209.50,211.73,21862600,211.73
2010-01-19,208.33,215.19,207.24,215.04,26071700,215.04
2010-01-15,210.93,211.60,205.87,205.93,21216700,205.93
2010-01-14,210.11,210.46,209.02,209.43,15460500,209.43
2010-01-13,207.87,210.93,204.10,210.65,21639000,210.65
2010-01-12,209.19,209.77,206.42,207.72,21230700,207.72
2010-01-11,212.80,213.00,208.45,210.11,16508200,210.11
2010-01-08,210.30,212.00,209.06,211.98,15986100,211.98
2010-01-07,211.75,212.00,209.05,210.58,17040400,210.58
2010-01-06,214.38,215.23,210.75,210.97,19720000,210.97
2010-01-05,214.60,215.59,213.25,214.38,21496600,214.38
2010-01-04,213.43,214.50,212.38,214.01,17633200,214.01
